negeri,namasekolah,link
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN PANCHOR,https://drive.google.com/file/d/1FsFXoMopB9V5n68n1tmarYfRKwvq0eji/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU SRI SENDAYAN,https://drive.google.com/file/d/1m4SMSBxv5JLyZVqV60x6ZfXHJjuAldDK/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN TAMAN TUANKU JAAFAR,https://drive.google.com/file/d/1Khax7MWf5hvPYje7pWmrN_h-rVX0ce2o/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH SAINS TUANKU MUNAWIR,https://drive.google.com/file/d/1U2VbzhbPkYeRdLDmtGoin6jeVxguI7uc/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN INTAN PERDANA,https://drive.google.com/file/d/1cQCNtKuYiRM9hBfJOnM7HGbTjfRSwfhk/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN DATUK AKHIR ZAMAN,https://drive.google.com/file/d/1fNTiWTF7U5vIvDMX-2H_ZBS6xHO4TBRC/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN PUTERI,https://drive.google.com/file/d/1qH7GMlAlJwdMcYHjAH9twgqV2guJRJ4t/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN PORT DICKSON,https://drive.google.com/file/d/14O8jHu8WGtwRD-CCq3kvQOyr2p_CuMnr/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN AGAMA SHEIKH HJ MOHD SAID,https://drive.google.com/file/d/1ero3Y_xDmo6crrglj0SxH1PUtq6-qffT/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN FELDA LUI BARAT,https://drive.google.com/file/d/1vgnDqIpY9-66Ef77nLCjST9afIThjDxP/view?usp=drivesdk
NEGERI SEMBILAN,KOLEJ TUNKU KURSHIAH,https://drive.google.com/file/d/12a09pP16SZiuTKJqi-KrgQSER8GuBGPD/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN JIMAH BARU,https://drive.google.com/file/d/1kVn9BbH2sXZRuiuMaASWv4BwATwYrMCo/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN TAMAN SERI PAGI,https://drive.google.com/file/d/1wwkrQNFexMwPS0WgQRjhlhACPFEIAEdi/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN KING GEORGE V,https://drive.google.com/file/d/1d_ZujxBkHaMhUuCi7ClCRnuOPPDvk_Jj/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN WAWASAN SEREMBAN 2,https://drive.google.com/file/d/12TLCG-5ejiz5qgjqA3Nff99FIkzZr9Ba/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN PANGLIMA ADNAN,https://drive.google.com/file/d/1DlOJhfWLYc43TxF7JY3jTp6ZkyRJuPeU/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN ST PAUL,https://drive.google.com/file/d/1VZ4Ci0x5H8yQZFQfwxohSs8jVXXZduVY/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN BUKIT KEPAYANG,https://drive.google.com/file/d/1_cQWf37UAHtETidN_pBHrMrBxmbxwiLO/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN JELAI,https://drive.google.com/file/d/1iLKYrLhf0Bh9RZpkCxAXuFs5xrqek1_B/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH SAINS REMBAU,https://drive.google.com/file/d/1-e63h6DdNKNLLUqBWKXKYH9F-16Aj0J2/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN KING GEORGE V,https://drive.google.com/file/d/1sS_vsbvVFvnUN6w0YG-D6kQ96xBKa_C6/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN TUNKU KURSHIAH,https://drive.google.com/file/d/14iVLVomsAV0e1sS4eLkaY4Ucozsz6rEZ/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN BATU KIKIR MODEL KHAS,https://drive.google.com/file/d/16mGem8aKwUCbnbcKEtTEB9xcsqdKJyZ5/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN SERTING ULU,https://drive.google.com/file/d/1Lzw3XmGQ3jvUCf47YeiPrN4rOlz1-Db_/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN INTAN PERDANA,https://drive.google.com/file/d/1NqTlhyXzU7LkvAS1hJDMqLScEzNv4hJq/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH AGAMA TELOK KEMANG,https://drive.google.com/file/d/1Zgi8U8d4dEodl5F9wFN02hNZ-pHK01E-/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN DATO KLANA PUTRA,https://drive.google.com/file/d/1bQztOonKxmVjeWOcJ42fppGLj8Sqergr/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN AGAMA DATO HAJI ABU HASSAN HAJI SAIL,https://drive.google.com/file/d/1f7xSq1fXgdQrydAE2C_VcmZgJjb_-y9b/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN SEREMBAN 2A,https://drive.google.com/file/d/1qnRc70clGzjsaOWJJ__8yegAIzQJz9D6/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH KEBANGSAAN DATUK HAJI ABDUL SAMAD,https://drive.google.com/file/d/1vXeUpwcFH-AuAAjSAFTRrRX7MWBMxvVq/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH JENIS KEBANGSAAN CINA CHUAH,https://drive.google.com/file/d/14h_V0I7xL8AeBiWBcjzY10IJC1H11gvM/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN TELOK KEMANG,https://drive.google.com/file/d/17YtEFoROxy5ltwkZGk-wPhSxKJpXulaL/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH MENENGAH AGAMA CHUAH,https://drive.google.com/file/d/1CTbr8qEA8wS2HYozGQwkqOc7Pgi509az/view?usp=drivesdk
NEGERI SEMBILAN,SEKOLAH KEBANGSAAN KERU,https://drive.google.com/file/d/1n4y2qO3_ZX8192rFIAKxNhYLTGb3jJTa/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH SAINS MUZAFFAR SHAH,https://drive.google.com/file/d/1HszTkvD09CImLyNVsup-r4ykWyRCV1oH/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH KEBANGSAAN DATUK BENDAHARA,https://drive.google.com/file/d/1YhP1WCaTHjkKryNVzU2pVORm_TgBGRDP/view?usp=drivesdk
MELAKA,SEKOLAH KEBANGSAAN DATO DEMANG HUSSIN,https://drive.google.com/file/d/1d3Iw4vFxoxqyDH5MOXrc3bgd-6fkKOM3/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH KEBANGSAAN DATO HAJI TALIB KARIM,https://drive.google.com/file/d/160zMyBnWo2KNTZjd9zp9ovHNsbWuTj8h/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH KEBANGSAAN DATO ABDUL RAHMAN YAKUB,https://drive.google.com/file/d/1LEC2q6FN4dxzu91WvqZawhY9YAv6WxaC/view?usp=drivesdk
MELAKA,SEKOLAH KEBANGSAAN KEM GERAKHAS,https://drive.google.com/file/d/1MAPrREzcTkKKhK3oqxzZi4FTcc3IFQGI/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH KEBANGSAAN KRUBONG,https://drive.google.com/file/d/1xFl5rjpQySdHIIHCdAETv9rqyKWjUMMT/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH KEBANGSAAN NANING,https://drive.google.com/file/d/1GieV7Bbpz_JOlG3bHXCQeeVgMrIvfNot/view?usp=drivesdk
MELAKA,SEKOLAH KEBANGSAAN RAMUAN CHINA BESAR,https://drive.google.com/file/d/1-kt1IFGuyJbhJT7cPGBITOAecwx19o9Q/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,https://drive.google.com/file/d/18K4sSRLRledvl9w5Qsb_oT76ATdbOhRC/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH KEBANGSAAN DANG ANUM,https://drive.google.com/file/d/1AA35Z84xLxm6Q9wmmdZWa2avJwsTOIEQ/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH JENIS KEBANGSAAN CINA YOK BIN,https://drive.google.com/file/d/1CfOZaRljnXuCx4SAcOjirx8JwR7ngOO7/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH KEBANGSAAN SULTAN MANSOR SHAH,https://drive.google.com/file/d/1HbEXDNUIgQ3ePWbkoop4uSJhWVOrlWKS/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH KEBANGSAAN GHAFAR BABA,https://drive.google.com/file/d/1NoG26UiY5wOZuUF1R4gGhs4sHl_BpD0U/view?usp=drivesdk
MELAKA,SEKOLAH KEBANGSAAN ALAI,https://drive.google.com/file/d/1aQRXTOOEJNFPdlSup8EyJO76t5qXl_ZQ/view?usp=drivesdk
MELAKA,SEKOLAH KEBANGSAAN MERLIMAU,https://drive.google.com/file/d/1cXIwEedBUA5SxtZGZTpeU5lq3x0LVjvb/view?usp=drivesdk
MELAKA,SEKOLAH KEBANGSAAN LIMBONGAN,https://drive.google.com/file/d/1dYZrSye-Q6cmuLFc5s9UHjWBkHNRZMW3/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH SAINS ALOR GAJAH,https://drive.google.com/file/d/1hVzJaVHJBlnFhQbhHp4cblwjOYtgxAoR/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH KEBANGSAAN TINGGI ST DAVID,https://drive.google.com/file/d/1kQ521k-eUUxuJ9mhNebMlsVy53BGKWzJ/view?usp=drivesdk
MELAKA,SEKOLAH JENIS KEBANGSAAN CINA BUKIT BERUANG,https://drive.google.com/file/d/1mnrvKRhNfuAQtIEz27Tj8fxVWP_-tXr_/view?usp=drivesdk
MELAKA,MRSM TUN GHAFAR BABA,https://drive.google.com/file/d/1zmlXlEw7YHl0eMkxoRnyNst9ef_NLgZl/view?usp=drivesdk
MELAKA,SEKOLAH MENENGAH KEBANGSAAN DURIAN TUNGGAL,https://drive.google.com/file/d/1fxTn36WucFwAi5_-gv5DRllwdtogcNEG/view?usp=drivesdk
MELAKA,SEKOLAH JENIS KEBANGSAAN CINA PAY YAP,https://drive.google.com/file/d/1hn1DA1yJm74vwHBO8LKHA34U_4KxMeoO/view?usp=drivesdk
MELAKA,SEKOLAH KEBANGSAAN CHINCHIN,https://drive.google.com/file/d/115VtZ3r66cAq0RMGymuztq48-r_rSDIf/view?usp=drivesdk
MELAKA,SEKOLAH KEBANGSAAN LEREH,https://drive.google.com/file/d/13Pv_JmLIxtPKdFi-aIj70etbk4o_Fj4W/view?usp=drivesdk
MELAKA,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,https://drive.google.com/file/d/1lXIBt015QXfwx6R5xF1WQqi0YTN_UgTQ/view?usp=drivesdk
MELAKA,SEKOLAH KEBANGSAAN BUKIT TEMBAKAU,https://drive.google.com/file/d/1nEixPg96VpUShW3JqQApCnW2bqUXdhkD/view?usp=drivesdk
MELAKA,SEKOLAH KEBANGSAAN TEBONG,https://drive.google.com/file/d/1oPafk65DPMrEcq00ulv1tDT1YLplal95/view?usp=drivesdk
WP PUTRAJAYA,SEKOLAH KEBANGSAAN PUTRAJAYA PRESINT 181,https://drive.google.com/file/d/1UXKApY4FAvypUUp0YtwX4VmsCFb15O2d/view?usp=drivesdk
WP PUTRAJAYA,SEKOLAH KEBANGSAAN PUTRAJAYA PRESINT 91,https://drive.google.com/file/d/1hQeKv46i9RqTS9gzOcPgABe1p8QyPc_8/view?usp=drivesdk
WP PUTRAJAYA,SEKOLAH KEBANGSAAN PUTRAJAYA PRESINT 92,https://drive.google.com/file/d/14t-YacMcfgEz3DuivEyrBr4ymIghOL_c/view?usp=drivesdk
WP PUTRAJAYA,SEKOLAH KEBANGSAAN PUTRAJAYA 91,https://drive.google.com/file/d/1ZJE210lCUV-EddWHLnmVFNqPVxRZfWvR/view?usp=drivesdk
WP KUALA LUMPUR,SMA MAJLIS AGAMA ISLAM WILAYAH PERSEKUTUAN,https://drive.google.com/file/d/1gZCeOr0Vn5nMSr6Kl3y4ZKM8vxYfOJdL/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH KEBANGSAAN TAMAN SEGAR,https://drive.google.com/file/d/1qwmXX-lM93ZD2VbC8zTg_por5xt2xMuX/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH KEBANGSAAN JALAN PEEL,https://drive.google.com/file/d/16ksXjq8aXniBzdMbKtEyRa8akX8g4S1U/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH MENENGAH KEBANGSAAN AGAMA KUALA LUMPUR,https://drive.google.com/file/d/1E7RUzO-P6p3HpM74D8DxZvE3kncMOC0U/view?usp=drivesdk
WP KUALA LUMPUR,ST JOHNS INSTITUTION,https://drive.google.com/file/d/1et_DHyxKWRNDBGQKl4MLN6nApSuOxjZF/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH MENENGAH KEBANGSAAN BANDAR TASIK SELATAN,https://drive.google.com/file/d/1pz7yz_W-4yShc9mTIbPO0jRDJZZ1_6I9/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH JENIS KEBANGSAAN TAMIL FLETCHER,https://drive.google.com/file/d/1Q8OakUZXm3kmzgcu813Y65E-ZieGZJaJ/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH MENENGAH KEBANGSAAN SEGAMBUT JAYA,https://drive.google.com/file/d/12qk31xs4GA_p8v3Bb-Z02T24kizA028R/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH MENENGAH KEBANGSAAN TAMAN DESA,https://drive.google.com/file/d/1aPdc18iWeGkztRrqqr4yiEVCn_eK1pWx/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH MENENGAH JENIS KEBANGSAANCINACHONG HWA KUALA LUMPUR,https://drive.google.com/file/d/1hJ3yiERG_yE9xEHAKUqvl6Apyz_fydcp/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH MENENGAH KEBANGSAAN WANGSA MAJU SEKSYEN 2,https://drive.google.com/file/d/132dqHs41tiapWhMaocyUq_zPD6pkDd3d/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH MENENGAH KEBANGSAAN P BANDARAYA,https://drive.google.com/file/d/1J26wZPwXh5YjSL6sETE0gyXQ6E3ylhAb/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH KEBANGSAAN JALAN GURNEY 2,https://drive.google.com/file/d/1PkIWSCqVHBs3owCwiuXnIFtyHrig2H3v/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH JENIS KEBANGSAAN TAMIL LADANG EDINBURGH,https://drive.google.com/file/d/1k8LtJq7muAR4gEycxQnEVL-HmAAM5Yd0/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH MENENGAH KEBANGSAAN SERI BINTANG UTARA,https://drive.google.com/file/d/1piMrjeezkir524MJebdkqBPrRVDF50mF/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH MENENGAH TEKNIK KUALA LUMPUR,https://drive.google.com/file/d/1q2l9wIQj3WqY_DY7Sta_Ai5Q-YI5LQnr/view?usp=drivesdk
WP KUALA LUMPUR,SEKOLAH KEBANGSAAN POLIS DEPOT,https://drive.google.com/file/d/1xJkQOPP7fd6c0tkQ09rUlJKVX53Qlw1b/view?usp=drivesdk
SELANGOR,SEKOLAH MENENGAH SAINS BANTING,https://drive.google.com/file/d/1XojnW4o_eCJUU7MItQtEreUYM-u61-8U/view?usp=drivesdk
SELANGOR,SEKOLAH KEBANGSAAN TAMAN EHSAN,https://drive.google.com/file/d/1-B9ceQImEPB3yD-yLwdfXkLBz3RNnULZ/view?usp=drivesdk
SELANGOR,SEKOLAH KEBANGSAAN CYBERJAYA,https://drive.google.com/file/d/1DuA5z5-P3TLk3Hn41tCWKQkQbc6FKxAk/view?usp=drivesdk
SELANGOR,SEKOLAH MENENGAH KEBANGSAAN BANDAR TUN HUSSEIN ONN 2,https://drive.google.com/file/d/1TLpX0skKeORQKwJ8q9tw35C37i9mQki1/view?usp=drivesdk
SELANGOR,SEKOLAH MENENGAH KEBANGSAAN TAMAN BUNGA RAYA 1,https://drive.google.com/file/d/1ZGmfjMaa1NzZaJHWQjksrCb-9_8l8rUz/view?usp=drivesdk
SELANGOR,SEKOLAH KEBANGSAAN BANDAR BARU BANGI,https://drive.google.com/file/d/1cjblKCZR-vRd-aYmy3leVjDhifLAMDEI/view?usp=drivesdk
SELANGOR,SEVEN SKIES ISLAMIC INTERNATIONAL SCHOOL,https://drive.google.com/file/d/1fFBGkrnFA1_JQGkGnU2URz_VfD4RWvq1/view?usp=drivesdk
SELANGOR,SEKOLAH KEBANGSAAN TAMAN TUN DR ISMAIL JAYA,https://drive.google.com/file/d/1klYwGjrIB38B9op0osjrCMzfNlnWILma/view?usp=drivesdk
SELANGOR,SEKOLAH KEBANGSAAN DOKTOR ABDUL LATIFF,https://drive.google.com/file/d/1y_fDrgUo1yPPqzzk2tAe_kFzJPDWOdfa/view?usp=drivesdk
SELANGOR,MAVERICK INTERNATIONAL SECONDARY SCHOOL SELANGOR,https://drive.google.com/file/d/141ipBvgiGx0b2aqJbzTsQ3v5KRD1qDf8/view?usp=drivesdk
SELANGOR,SEKOLAH MENENGAH KEBANGSAAN TAMAN SRI MUDA,https://drive.google.com/file/d/16E4iMkkCpnwGL2xvaK3X1qOE8tFTY9hg/view?usp=drivesdk
SELANGOR,SEKOLAH MENENGAH KEBANGSAAN SERI SERDANG,https://drive.google.com/file/d/1RCvauAT6XAjFSArDEan2_kYXFkfWZ5DJ/view?usp=drivesdk
SELANGOR,SEKOLAH MENENGAH KEBANGSAAN TAMAN TASIK,https://drive.google.com/file/d/1bdBiBrTH95cAYFAOgdBVLuYnvJc1y7-J/view?usp=drivesdk
SELANGOR,SEKOLAH MENENGAH KEBANGSAAN TAMAN MELAWATI,https://drive.google.com/file/d/1dBE2i23KFnHlW9UaUAoLKW1f14hvLmH7/view?usp=drivesdk
SELANGOR,SEVEN SKIES INTERNATIONAL,https://drive.google.com/file/d/1i_lvPEhH7cTBcc3j9elIeRL59P4DusDV/view?usp=drivesdk
SELANGOR,SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU SALAK TINGGI,https://drive.google.com/file/d/1m08QbRO8mN5sgGCuSZletSOUWL5QhIFI/view?usp=drivesdk
SELANGOR,SEKOLAH MENENGAH KEBANGSAAN SELAYANG BHARU,https://drive.google.com/file/d/1pA_wiGlc8w3x9Ee76DcyyLnuPxp5uH5_/view?usp=drivesdk
SELANGOR,SEKOLAH KEBANGSAAN SUNGAI KANTAN,https://drive.google.com/file/d/1tiPQmKiZLX_GV0oLQTnW9kA1MHMu7AXD/view?usp=drivesdk
SELANGOR,SEKOLAH KEBANGSAAN SUNGAI LIMAU,https://drive.google.com/file/d/1uY5s8KnDfl0eBrgUiJiLiDJz2305x-tL/view?usp=drivesdk
SELANGOR,SEKOLAH MENENGAH KEBANGSAAN JALAN EMPAT,https://drive.google.com/file/d/1x4K0cPk7SUR8iaVsLa58n4zzs6_W9fAo/view?usp=drivesdk
SELANGOR,SEKOLAH KEBANGSAAN BANDAR TUN HUSSEIN ONN 2,https://drive.google.com/file/d/1c5FimFrrNs1boP4vKunNhhK-whT8qMPZ/view?usp=drivesdk
SELANGOR,SEKOLAH KEBANGSAAN TTDI JAYA,https://drive.google.com/file/d/1y_X76zM_GUBDNax5h3yLuVX7eheMCUE1/view?usp=drivesdk
PERAK,SEKOLAH MENENGAH KEBANGSAAN JALAN TASEK,https://drive.google.com/file/d/1QdZagFDwZjTZKj0drWpMQkB484BaASTA/view?usp=drivesdk
PERAK,SEKOLAH MENENGAH KEBANGSAAN AMINUDDIN BAKI,https://drive.google.com/file/d/1ayEgOij-8UpNIFCfytFjYajFKdeDxj4x/view?usp=drivesdk
PERAK,SEKOLAH MENENGAH KEBANGSAAN FELDA BESOUT,https://drive.google.com/file/d/10P-xhelAhbMFpWybUn2z1WWntXD27xm8/view?usp=drivesdk
PERAK,SEKOLAH KEBANGSAAN BANGGOL JAS,https://drive.google.com/file/d/11ZKUEW-NelkE5Hy1jkn9kAlpRIA_HgGk/view?usp=drivesdk
